City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Peniche,PT,2022-09-25 22:34:26,39.3558,-9.3811,63.09,88,0,22.3,clear sky
171,Shagonar,RU,2022-09-25 22:34:26,51.5333,92.8,51.62,52,76,0.89,broken clouds
172,Ampanihy,MG,2022-09-25 22:34:27,-24.7,44.75,71.02,56,0,7.56,clear sky
173,Ixtapa,MX,2022-09-25 22:34:27,20.7,-105.2,90.23,74,75,8.05,broken clouds
174,Ayan,RU,2022-09-25 22:34:27,56.45,138.1667,42.89,87,100,9.64,light rain
175,Nanortalik,GL,2022-09-25 22:34:28,60.1432,-45.2371,50.97,97,100,18.14,light rain
176,Saurimo,AO,2022-09-25 22:34:28,-9.6608,20.3916,68.31,61,85,3.29,overcast clouds
177,Bengkulu,ID,2022-09-25 22:30:25,-3.8004,102.2655,75.09,87,99,3.18,overcast clouds
178,Vanavara,RU,2022-09-25 22:34:28,60.34,102.2797,27.55,93,84,3.27,broken clouds
179,Jalu,LY,2022-09-25 22:34:29,29.0331,21.5482,78.89,46,2,9.64,clear sky
180,Humberto De Campos,BR,2022-09-25 22:34:29,-2.5983,-43.4611,77.56,77,10,6.67,clear sky
181,Dobryanka,RU,2022-09-25 22:34:29,58.4619,56.4165,38.88,89,100,14.0,overcast clouds
182,Cascais,PT,2022-09-25 22:34:20,38.6979,-9.4215,65.05,96,1,28.99,clear sky
183,Dodge City,US,2022-09-25 22:35:30,37.7528,-100.0171,80.24,29,0,8.01,clear sky
184,Cabo San Lucas,MX,2022-09-25 22:30:35,22.8909,-109.9124,90.7,62,20,6.91,few clouds
185,Ishigaki,JP,2022-09-25 22:35:30,24.3448,124.1572,80.73,94,75,8.05,broken clouds
186,Upernavik,GL,2022-09-25 22:35:30,72.7868,-56.1549,32.56,66,98,2.86,overcast clouds
187,Vila Franca Do Campo,PT,2022-09-25 22:35:31,37.7167,-25.4333,68.41,75,31,11.48,scattered clouds
188,Raudeberg,NO,2022-09-25 22:35:31,61.9875,5.1352,52.47,1,100,23.4,overcast clouds
189,Amarante Do Maranhao,BR,2022-09-25 22:35:31,-5.5667,-46.7422,74.71,81,72,2.26,broken clouds
190,Gat,IL,2022-09-25 22:35:32,31.61,34.7642,81.39,46,0,5.79,clear sky
191,Lyuban,BY,2022-09-25 22:35:32,52.7985,28.0048,50.02,66,99,5.37,overcast clouds
192,Arcos,BR,2022-09-25 22:35:32,-20.2819,-45.5394,76.8,45,58,3.96,broken clouds
193,Montepuez,MZ,2022-09-25 22:35:32,-13.1256,38.9997,67.95,88,18,4.32,few clouds
194,Saskylakh,RU,2022-09-25 22:35:33,71.9167,114.0833,31.55,79,100,16.15,overcast clouds
195,Seoul,KR,2022-09-25 22:35:32,37.5683,126.9778,62.04,91,0,4.61,clear sky
196,Salamanca,ES,2022-09-25 22:35:33,40.8333,-6.0,56.62,53,60,15.5,broken clouds
197,Kalabo,ZM,2022-09-25 22:35:33,-14.97,22.6814,71.67,24,94,3.71,overcast clouds
198,Fonte Boa,BR,2022-09-25 22:35:34,-2.4959,-66.2662,80.82,69,68,3.22,light rain
199,Pandan,PH,2022-09-25 22:35:34,14.0453,124.1694,80.44,84,100,9.19,overcast clouds
200,Saint Austell,GB,2022-09-25 22:35:22,50.3383,-4.7658,55.63,80,100,14.56,overcast clouds
201,Nikki,BJ,2022-09-25 22:35:34,9.9401,3.2108,72.81,91,95,4.05,light rain
202,Sept-Iles,CA,2022-09-25 22:35:17,50.2001,-66.3821,51.8,75,40,3.44,scattered clouds
203,Mandali,IQ,2022-09-25 22:35:35,33.7499,45.5541,78.15,29,0,11.25,clear sky
204,Trinidad,BO,2022-09-25 22:35:35,-14.8333,-64.9,93.18,43,20,4.61,smoke
205,Boffa,GN,2022-09-25 22:35:35,10.1667,-14.0333,76.5,90,100,1.45,overcast clouds
206,Machiques,VE,2022-09-25 22:35:36,10.0644,-72.545,78.98,85,100,4.25,overcast clouds
207,Keti Bandar,PK,2022-09-25 22:35:36,24.1447,67.4497,81.7,68,99,10.78,overcast clouds
208,Victoria,HK,2022-09-25 22:33:32,22.2855,114.1577,82.45,81,24,8.99,few clouds
209,Umm Lajj,SA,2022-09-25 22:35:36,25.0213,37.2685,91.72,31,36,8.68,scattered clouds
210,Kansanshi,ZM,2022-09-25 22:35:37,-12.0951,26.4273,64.92,36,12,4.32,few clouds
211,Torbay,CA,2022-09-25 22:35:34,47.6666,-52.7314,54.57,82,40,18.41,scattered clouds
212,Svetlogorsk,BY,2022-09-25 22:35:37,52.6333,29.7333,46.69,75,86,5.1,overcast clouds
213,Chuy,UY,2022-09-25 22:35:38,-33.6971,-53.4616,58.59,78,99,11.74,overcast clouds
214,Puerto Escondido,MX,2022-09-25 22:31:07,15.85,-97.0667,85.03,54,100,6.91,overcast clouds
215,Yidu,CN,2022-09-25 22:35:38,24.1614,115.1328,73.11,68,5,2.82,clear sky
216,Clyde River,CA,2022-09-25 22:35:38,70.4692,-68.5914,35.83,87,100,6.91,overcast clouds
217,Vostok,RU,2022-09-25 22:35:39,46.4856,135.8833,54.09,61,36,3.94,scattered clouds
218,Sampit,ID,2022-09-25 22:35:39,-2.5333,112.95,74.5,97,100,1.19,overcast clouds
219,Batemans Bay,AU,2022-09-25 22:35:39,-35.7167,150.1833,59.09,63,96,2.04,overcast clouds
220,Varhaug,NO,2022-09-25 22:35:40,58.6147,5.6457,52.9,92,100,20.47,light rain
221,Cherskiy,RU,2022-09-25 22:35:40,68.75,161.3,33.28,61,45,5.44,scattered clouds
222,Guerrero Negro,MX,2022-09-25 22:34:11,27.9769,-114.0611,79.2,67,0,14.2,clear sky
223,Bangassou,CF,2022-09-25 22:35:40,4.7413,22.8184,68.36,98,64,1.68,light rain
224,Shache,CN,2022-09-25 22:35:41,38.4167,77.2406,69.71,41,6,2.19,clear sky
225,Rawson,AR,2022-09-25 22:35:41,-43.3002,-65.1023,54.48,72,59,19.51,broken clouds
226,Nador,MA,2022-09-25 22:35:41,35.174,-2.9287,71.85,73,0,4.61,clear sky
227,Eureka,US,2022-09-25 22:35:41,40.8021,-124.1637,89.74,74,15,1.99,few clouds
228,Laguna,US,2022-09-25 22:34:40,38.421,-121.4238,98.35,27,0,12.66,clear sky
229,Kerema,PG,2022-09-25 22:35:42,-7.9631,145.7785,82.36,75,99,2.91,overcast clouds
230,Port Hardy,CA,2022-09-25 22:36:42,50.6996,-127.4199,62.6,82,20,4.61,few clouds
231,Mustafakemalpasa,TR,2022-09-25 22:36:42,40.0353,28.4117,46.45,36,11,3.15,few clouds
232,Aklavik,CA,2022-09-25 22:36:43,68.2191,-135.0107,38.28,80,100,0.94,overcast clouds
233,Kholtoson,RU,2022-09-25 22:36:43,50.2981,103.3097,37.94,71,100,3.11,overcast clouds
234,Qasigiannguit,GL,2022-09-25 22:36:43,68.8193,-51.1922,35.85,76,100,6.11,overcast clouds
235,Petropavlovsk-Kamchatskiy,RU,2022-09-25 22:36:44,53.0452,158.6483,46.99,100,100,2.24,light intensity shower rain
236,Ostrovnoy,RU,2022-09-25 22:36:44,68.0531,39.5131,41.74,75,100,9.44,overcast clouds
237,Pirgos,GR,2022-09-25 22:36:44,35.1167,25.7178,67.62,61,0,1.83,clear sky
238,Esperance,AU,2022-09-25 22:36:45,-33.8667,121.9,58.19,73,46,9.53,scattered clouds
239,Burgeo,CA,2022-09-25 22:32:54,47.6167,-57.6152,54.12,82,26,13.0,scattered clouds
240,Flinders,AU,2022-09-25 22:36:45,-34.5833,150.8552,59.38,81,91,5.01,overcast clouds
241,Tete,MZ,2022-09-25 22:36:45,-16.1564,33.5867,82.49,42,75,3.44,broken clouds
242,Yinchuan,CN,2022-09-25 22:36:46,38.4681,106.2731,63.19,40,0,1.16,clear sky
243,Kangaatsiaq,GL,2022-09-25 22:36:46,68.3065,-53.4641,36.5,65,100,19.82,overcast clouds
244,Ust-Koksa,RU,2022-09-25 22:36:46,50.2696,85.6108,49.35,52,49,1.57,scattered clouds
245,Sao Joao Da Barra,BR,2022-09-25 22:36:47,-21.6403,-41.0511,71.69,77,7,11.43,clear sky
